filename	date	artist	title	score	likes	dislikes	views	duration
20150611_Florence + The Machine - How Big, How Blue, How Beautiful ALBUM REVIEW.jpg	20150611	Florence + The Machine 	How Big, How Blue, How Beautiful	7/10	1797	113	130979	376
20150612_High On Fire - Luminiferous ALBUM REVIEW.jpg	20150612	High On Fire 	Luminiferous	8/10	1160	34	88735	394
20150615_Denzel Curry - 32 Zel _ Planet Shrooms ALBUM REVIEW.jpg	20150615	Denzel Curry 	32 Zel _ Planet Shrooms	6/10	1729	118	130387	392
20150617_Hudson Mohawke - Lantern ALBUM REVIEW.jpg	20150617	Hudson Mohawke 	Lantern	5/10	498	41	53885	327
20150618_Ash Koosha - GUUD ALBUM REVIEW.jpg	20150618	Ash Koosha 	GUUD	8/10	1132	18	59060	436
20150619_mewithoutYOU - Pale Horses ALBUM REVIEW.jpg	20150619	mewithoutYOU 	Pale Horses	5/10	460	239	54248	377
20150621_KEN mode - Success ALBUM REVIEW.jpg	20150621	KEN mode 	Success	8/10	1241	24	67487	649
20150623_Thundercat - The Beyond _ Where the Giants Roam ALBUM REVIEW.jpg	20150623	Thundercat 	The Beyond _ Where the Giants Roam	6/10	1130	54	94771	330
20150624_Lil Ugly Mane - Third Side of Tape ALBUM REVIEW.jpg	20150624	Lil Ugly Mane 	Third Side of Tape	8/10	2128	54	143972	631
20150625_Vince Staples - Summertime 06 ALBUM REVIEW.jpg	20150625	Vince Staples 	Summertime 06	6/10	3003	1228	299304	550
20150626_Citizen - Everybody Is Going To Heaven ALBUM REVIEW.jpg	20150626	Citizen 	Everybody Is Going To Heaven	3/10	1191	318	91634	380
20150626_Czarface - Every Hero Needs A Villain ALBUM REVIEW.jpg	20150626	Czarface 	Every Hero Needs A Villain	8/10	2340	39	146780	440
20150630_Desaparecidos - Payola ALBUM REVIEW.jpg	20150630	Desaparecidos 	Payola	5/10	421	39	41778	453
20150701_King Los - God, Money, War ALBUM REVIEW.jpg	20150701	King Los 	God, Money, War	6/10	1005	36	76286	335
20150702_Refused - Freedom! ALBUM REVIEW.jpg	20150702	Refused 	Freedom!	4/10	544	83	55078	406
20150703_Meek Mill - Dreams Worth More Than Money ALBUM REVIEW.jpg	20150703	Meek Mill 	Dreams Worth More Than Money	7/10	3452	244	233612	541
20150706_Miguel - Wildheart ALBUM REVIEW.jpg	20150706	Miguel 	Wildheart	5/10	1114	335	110953	536
20150709_The Internet - Ego Death ALBUM REVIEW.jpg	20150709	The Internet 	Ego Death	5/10	1632	1088	149420	381
20150710_Lil Wayne - Free Weezy Album ALBUM REVIEW.jpg	20150710	Lil Wayne 	Free Weezy Album	4/10	2824	612	249763	582
20150714_Tame Impala - Currents ALBUM REVIEW.jpg	20150714	Tame Impala 	Currents	7/10	12407	1048	829701	511
20150715_Everything Everything - Get to Heaven ALBUM REVIEW.jpg	20150715	Everything Everything 	Get to Heaven	8/10	2859	56	173351	587
20150716_Ratatat - Magnifique ALBUM REVIEW.jpg	20150716	Ratatat 	Magnifique	7/10	1070	40	81346	412
20150721_Future - DS2 ALBUM REVIEW.jpg	20150721	Future 	DS2	6/10	3615	668	317447	633
20150721_The Chemical Brothers - Born In the Echoes ALBUM REVIEW.jpg	20150721	The Chemical Brothers 	Born In the Echoes	7/10	988	26	74829	505
20150722_RP Boo - Fingers, Bank Pads & Shoeprints ALBUM REVIEW.jpg	20150722	RP Boo 	Fingers, Bank Pads & Shoeprints	7/10	374	20	30583	444
20150723_Corpo-Mente - Self-Titled ALBUM REVIEW.jpg	20150723	Corpo-Mente - Self	Titled	7/10	590	25	39025	396
20150724_Quelle Chris - Innocent Country ALBUM REVIEW.jpg	20150724	Quelle Chris 	Innocent Country	7/10	491	13	36875	497
20150727_Injury Reserve - Live From the Dentist Office ALBUM REVIEW.jpg	20150727	Injury Reserve 	Live From the Dentist Office	8/10	2476	30	135480	483
20150728_Hopsin - Pound Syndrome ALBUM REVIEW.jpg	20150728	Hopsin 	Pound Syndrome	3/10	11222	1283	657979	691
20150729_Sleaford Mods - Key Markets ALBUM REVIEW.jpg	20150729	Sleaford Mods 	Key Markets	8/10	817	47	71024	617
20150730_Titus Andronicus - The Most Lamentable Tragedy ALBUM REVIEW.jpg	20150730	Titus Andronicus 	The Most Lamentable Tragedy	4/10	579	254	65965	973
20150731_Mac DeMarco - Another One ALBUM REVIEW ft. ARTV Reviews.jpg	20150731	Mac DeMarco 	Another One	7/10	1882	207	191048	1048
20150803_Wilco - Star Wars ALBUM REVIEW.jpg	20150803	Wilco 	Star Wars	6/10	653	37	67456	342
20150804_Pissgrave - Suicide Euphoria ALBUM REVIEW.jpg	20150804	Pissgrave 	Suicide Euphoria	7/10	1491	59	79531	527
20150805_Lianne La Havas - Blood ALBUM REVIEW.jpg	20150805	Lianne La Havas 	Blood	8/10	1245	25	68314	609
20150806_Lee Scott - Butter Fly ALBUM REVIEW.jpg	20150806	Lee Scott 	Butter Fly	6/10	557	17	36983	480
20150807_Lil Dicky - Professional Rapper ALBUM REVIEW.jpg	20150807	Lil Dicky 	Professional Rapper	2/10	7759	7136	452937	702
20150810_Chelsea Wolfe - Abyss ALBUM REVIEW.jpg	20150810	Chelsea Wolfe 	Abyss	8/10	1551	44	91174	584
20150811_Dr. Dre - Compton ALBUM REVIEW.jpg	20150811	Dr. Dre 	Compton	watch the review/10	11326	649	747415	1124
20150811_Grave Babies - Holographic Violence ALBUM REVIEW.jpg	20150811	Grave Babies 	Holographic Violence	6/10	338	13	27823	552
20150813_Cattle Decapitation - The Anthropocene Extinction ALBUM REVIEW.jpg	20150813	Cattle Decapitation 	The Anthropocene Extinction	8/10	3519	89	157054	641
20150817_Health - Death Magic ALBUM REVIEW.jpg	20150817	Health 	Death Magic	5/10	587	208	54782	445
20150818_Ghost - Meliora ALBUM REVIEW.jpg	20150818	Ghost 	Meliora	9/10	6140	194	304436	694
20150821_Beach House - Depression Cherry ALBUM REVIEW.jpg	20150821	Beach House 	Depression Cherry	6/10	3562	701	266585	866
20150824_Carly Rae Jepsen - Emotion ALBUM REVIEW.jpg	20150824	Carly Rae Jepsen 	Emotion	7/10	4718	255	263463	612
20150826_Dope Body - Kunk ALBUM REVIEW.jpg	20150826	Dope Body 	Kunk	7/10	538	15	41057	581
20150826_The Weeknd - Beauty Behind the Madness ALBUM REVIEW.jpg	20150826	The Weeknd 	Beauty Behind the Madness	5/10	4733	2891	504456	667
20150828_Destroyer - Poison Season ALBUM REVIEW.jpg	20150828	Destroyer 	Poison Season	8/10	838	32	90544	705
20150901_Deradoorian - The Expanding Flower Planet ALBUM REVIEW ft. Spectrum Pulse.jpg	20150901	Deradoorian 	The Expanding Flower Planet	6/10 & 7/10	353	14	30552	1052
20150903_Foals - What Went Down ALBUM REVIEW.jpg	20150903	Foals 	What Went Down	5/10	888	358	89719	366
20150903_Krallice - Ygg Huur ALBUM REVIEW.jpg	20150903	Krallice 	Ygg Huur	6/10	416	13	34520	365
20150904_Miley Cyrus - Miley Cyrus and Her Dead Petz ALBUM REVIEW.jpg	20150904	Miley Cyrus 	Miley Cyrus and Her Dead Petz	watch the review, bb/10	28573	1203	1395319	999
20150907_Travis Scott - Rodeo ALBUM REVIEW.jpg	20150907	Travis Scott 	Rodeo	8/10	28250	1325	1576852	1396
20150908_Dam-Funk - Invite the Light ALBUM REVIEW.jpg	20150908	Dam-Funk 	Invite the Light	7/10	653	10	41028	727
20150909_Iron Maiden - The Book of Souls ALBUM REVIEW.jpg	20150909	Iron Maiden 	The Book of Souls	6/10	2498	511	183172	610
20150910_The Wonder Years - No Closer To Heaven ALBUM REVIEW.jpg	20150910	The Wonder Years 	No Closer To Heaven	5/10	698	377	73927	389
20150911_FIDLAR - Too ALBUM REVIEW.jpg	20150911	FIDLAR 	Too	4/10	1220	1035	103170	588
20150915_Jay Rock - 90059 ALBUM REVIEW.jpg	20150915	Jay Rock 	90059	6/10	2648	722	200509	667
20150915_Myrkur - M ALBUM REVIEW.jpg	20150915	Myrkur 	M	6/10	680	95	62266	366
20150916_The Libertines - Anthems For Doomed Youth ALBUM REVIEW ft. The Daily Guru.jpg	20150916	The Libertines 	Anthems For Doomed Youth	6/10	511	74	54070	754
20150916_Whitey Morgan and the 78's - Sonic Ranch ALBUM REVIEW.jpg	20150916	Whitey Morgan and the 78's 	Sonic Ranch	7/10	398	19	24771	664
20150917_Battles - La Di Da Di ALBUM REVIEW.jpg	20150917	Battles 	La Di Da Di	6/10	771	75	79139	520
20150921_The Underachievers - Evermore - The Art of Duality ALBUM REVIEW.jpg	20150921	The Underachievers - Evermore 	The Art of Duality	8/10	2774	70	157976	564
20150922_Mac Miller - GO -OD AM ALBUM REVIEW.jpg	20150922	Mac Miller - GO 	OD AM	7/10	6812	364	496289	614
20150923_Lana Del Rey - Honeymoon ALBUM REVIEW.jpg	20150923	Lana Del Rey 	Honeymoon	5/10	3426	1020	262664	584
20150925_Ought - Sun Coming Down ALBUM REVIEW.jpg	20150925	Ought 	Sun Coming Down	8/10	905	18	74791	526
20150928_Julia Holter - Have You In My Wilderness ALBUM REVIEW.jpg	20150928	Julia Holter 	Have You In My Wilderness	9/10	1674	28	105332	655
20150929_The Front Bottoms - Back On Top ALBUM REVIEW.jpg	20150929	The Front Bottoms 	Back On Top	6/10	1118	34	75692	452
20150930_milo - So the Flies Don't Come ALBUM REVIEW.jpg	20150930	milo 	So the Flies Don't Come	8/10	2175	34	143473	716
20151001_Deafheaven - New Bermuda ALBUM REVIEW.jpg	20151001	Deafheaven 	New Bermuda	6/10	1391	671	139904	523
20151004_Black Breath - Slaves Beyond Death ALBUM REVIEW.jpg	20151004	Black Breath 	Slaves Beyond Death	6/10	399	33	32844	381
20151004_Run the Jewels - Meow the Jewels REMIX ALBUM REVIEW.jpg	20151004	Run the Jewels 	Meow the Jewels REMIX	http://www.runthejewels.net/10	2653	53	186958	405
20151005_Fetty Wap - Self-Titled ALBUM REVIEW.jpg	20151005	Fetty Wap - Self	Titled	5/10	3266	180	238118	450
20151006_Kurt Vile - B'lieve I'm Goin Down... ALBUM REVIEW.jpg	20151006	Kurt Vile 	B'lieve I'm Goin Down...	6/10	487	117	64845	477
20151007_Wavves - V ALBUM REVIEW.jpg	20151007	Wavves 	V	4/10	1021	398	91094	403
20151008_Disclosure - Caracal ALBUM REVIEW.jpg	20151008	Disclosure 	Caracal	6/10	1271	85	98813	431
20151009_Loma Prieta - Self Portrait ALBUM REVIEW.jpg	20151009	Loma Prieta 	Self Portrait	7/10	548	25	42675	355
20151010_The Game - The Documentary 2 ALBUM REVIEW ft. Luke James.jpg	20151010	The Game 	The Documentary 2	6/10	2157	196	196281	2077
20151014_Alex G - Beach Music ALBUM REVIEW.jpg	20151014	Alex G 	Beach Music	6/10	505	238	60026	449
20151015_New Order - Music Complete ALBUM REVIEW.jpg	20151015	New Order 	Music Complete	just watch the review/10	1383	79	92798	476
20151016_CHVRCHES - Every Open Eye ALBUM REVIEW.jpg	20151016	CHVRCHES 	Every Open Eye	5/10	1255	217	103232	433
20151018_The World Is A Beautiful Place & I Am No Longer Afraid To Die - Harmlessness ALBUM REVIEW.jpg	20151018	The World Is A Beautiful Place & I Am No Longer Afraid To Die 	Harmlessness	7/10	1946	60	152640	570
20151020_Neon Indian - VEGA INTL. Night School ALBUM REVIEW.jpg	20151020	Neon Indian 	VEGA INTL. Night School	7/10	1709	50	93809	504
20151021_Beach House - Thank Your Lucky Stars ALBUM REVIEW.jpg	20151021	Beach House 	Thank Your Lucky Stars	5/10	1025	1100	98132	425
20151022_Big K.R.I.T. - It's Better This Way ALBUM REVIEW.jpg	20151022	Big K.R.I.T. 	It's Better This Way	5/10	1240	524	114716	500
20151022_Deerhunter - Fading Frontier ALBUM REVIEW.jpg	20151022	Deerhunter 	Fading Frontier	6/10	651	108	67571	460
20151024_Raury - All We Need ALBUM REVIEW.jpg	20151024	Raury 	All We Need	5/10	1367	236	103646	501
20151026_The Game - The Documentary 2.5 ALBUM REVIEW.jpg	20151026	The Game 	The Documentary 2.5	8/10	1646	56	134994	1646
20151026_Uncommon Nasa - Halfway ALBUM REVIEW.jpg	20151026	Uncommon Nasa 	Halfway	7/10	410	16	34110	548
20151027_Joanna Newsom - Divers ALBUM REVIEW.jpg	20151027	Joanna Newsom 	Divers	8/10	1818	58	117574	870
20151028_Machine Gun Kelly - General Admission ALBUM REVIEW.jpg	20151028	Machine Gun Kelly 	General Admission	3/10	2233	969	162883	494
20151029_Protomartyr - The Agent Intellect ALBUM REVIEW.jpg	20151029	Protomartyr 	The Agent Intellect	7/10	942	40	70750	368
20151030_Twitching Tongues - Disharmony ALBUM REVIEW ft. Myke C-Town.jpg	20151030	Twitching Tongues 	Disharmony	3/10	1143	140	71070	1077
20151102_Foxing - Dealer ALBUM REVIEW.jpg	20151102	Foxing 	Dealer	3/10	759	711	65414	323
20151102_Kirk Knight - Late Knight Special ALBUM REVIEW.jpg	20151102	Kirk Knight 	Late Knight Special	5/10	1117	159	81782	366
20151104_M.E.D. Blu and Madlib - Bad Neighbor ALBUM REVIEW.jpg	20151104	M.E.D. Blu and Madlib 	Bad Neighbor	4/10	887	284	81567	384
20151105_Panopticon - Autumn Eternal ALBUM REVIEW.jpg	20151105	Panopticon 	Autumn Eternal	8/10	996	23	73042	494
20151106_Car Seat Headrest - Teens of Style ALBUM REVIEW.jpg	20151106	Car Seat Headrest 	Teens of Style	7/10	1413	43	88687	383
20151109_Grimes - Art Angels ALBUM REVIEW.jpg	20151109	Grimes 	Art Angels	7/10	6017	792	416232	535
20151111_Kylesa - Exhausting Fire ALBUM REVIEW.jpg	20151111	Kylesa 	Exhausting Fire	7/10	536	16	38449	442
20151113_Goldlink - And After That, We Didn't Talk ALBUM REVIEW.jpg	20151113	Goldlink 	And After That, We Didn't Talk	2/10	1179	1029	114514	492
20151116_Revenge - Behold.Total.Rejection ALBUM REVIEW.jpg	20151116	Revenge 	Behold.Total.Rejection	6(66)/10	1262	104	61361	352
20151116_The Garden - Haha ALBUM REVIEW.jpg	20151116	The Garden 	Haha	5/10	1450	462	88221	321
20151117_Logic - The Incredible True Story ALBUM REVIEW.jpg	20151117	Logic 	The Incredible True Story	6/10	9736	3836	647775	723
20151118_Justin Bieber - Purpose ALBUM REVIEW.jpg	20151118	Justin Bieber 	Purpose	5/10	7667	690	594273	364
20151119_Anna Von Hausswolff - The Miraculous ALBUM REVIEW.jpg	20151119	Anna Von Hausswolff 	The Miraculous	6/10	472	18	34286	382
20151120_King Gizzard & the Lizard Wizard - Paper Mâché Dream Balloon ALBUM REVIEW.jpg	20151120	King Gizzard & the Lizard Wizard 	Paper Mâché Dream Balloon	7/10	2130	42	131426	448
20151122_Ty Dolla $ign - Free TC ALBUM REVIEW.jpg	20151122	Ty Dolla $ign 	Free TC	6/10	2106	65	127447	714
20151123_Adele - 25 ALBUM REVIEW.jpg	20151123	Adele 	25	7/10	5311	405	425390	485
20151124_Freddie Gibbs - Shadow of a Doubt ALBUM REVIEW.jpg	20151124	Freddie Gibbs 	Shadow of a Doubt	7/10	2304	34	150219	407
20151125_Arca - Mutant ALBUM REVIEW.jpg	20151125	Arca 	Mutant	6/10	1101	196	104541	511
20151201_Jon Benjamin - well, i should have..._ ALBUM REVIEW.jpg	20151201	Jon Benjamin 	well, i should have..._	BUTTSECKS/10	1396	66	90539	442
20151202_Sunn o))) - Kannon ALBUM REVIEW.jpg	20151202	Sunn o))) 	Kannon	6/10	1292	81	109163	460
20151203_James Ferraro - Skid Row ALBUM REVIEW.jpg	20151203	James Ferraro 	Skid Row	4/10	413	103	36444	387
20151205_Kid Cudi - Speedin' Bullet 2 Heaven ALBUM REVIEW.jpg	20151205	Kid Cudi 	Speedin' Bullet 2 Heaven	0.94721/10	33920	3121	1861557	603
20151210_Coldplay - A Head Full of Dreams ALBUM REVIEW.jpg	20151210	Coldplay 	A Head Full of Dreams	5/10	3081	234	251808	334
20151211_Cavanaugh - Time & Materials ALBUM REVIEW.jpg	20151211	Cavanaugh 	Time & Materials	6/10	449	25	32266	333
20151211_G-Eazy - When it's Dark Out ALBUM REVIEW.jpg	20151211	G-Eazy 	When it's Dark Out	4/10	6360	3088	387276	244
20151214_Archy Marshall - A New Place 2 Drown ALBUM REVIEW.jpg	20151214	Archy Marshall 	A New Place 2 Drown	4/10	964	1852	91396	237
20151216_Beach Slang - The Things We Do To Find People Who Feel Like Us ALBUM REVIEW.jpg	20151216	Beach Slang 	The Things We Do To Find People Who Feel Like Us	7/10	825	21	47575	306
20151217_Christian Scott aTunde Adjuah - Stretch Music ALBUM REVIEW.jpg	20151217	Christian Scott aTunde Adjuah 	Stretch Music	7/10	974	23	48895	324
20151218_Willow Smith - Ardipithecus ALBUM REVIEW.jpg	20151218	Willow Smith 	Ardipithecus	3/10	6224	818	420466	454
20151219_Baroness - Purple ALBUM REVIEW.jpg	20151219	Baroness 	Purple	8/10	2360	51	146184	451
20151219_Pusha T - King Push – Darkest Before Dawn - The Prelude ALBUM REVIEW.jpg	20151219	Pusha T - King Push – Darkest Before Dawn 	The Prelude	7/10	5485	106	332872	625
20151228_Tangerine Dream - Phaedra ALBUM REVIEW.jpg	20151228	Tangerine Dream 	Phaedra	classic/10	1706	39	98945	503
20151229_Bob Dylan - Highway 61 Revisited ALBUM REVIEW.jpg	20151229	Bob Dylan 	Highway 61 Revisited	classic/10	4201	85	210657	932
20151230_Slint - Spiderland ALBUM REVIEW.jpg	20151230	Slint 	Spiderland	classic/10	4220	77	181487	675
20151231_N.W.A. - Straight Outta Compton ALBUM REVIEW.jpg	20151231	N.W.A. 	Straight Outta Compton	classic/10	7735	162	362021	976
20160101_DJ Shadow - Endtroducing..... ALBUM REVIEW.jpg	20160101	DJ Shadow 	Endtroducing.....	classic/10	4008	79	180915	716
20160102_Radiohead - Kid A ALBUM REVIEW.jpg	20160102	Radiohead 	Kid A	classic/10	12750	354	659586	688
20160105_Cage the Elephant - Tell Me I'm Pretty ALBUM REVIEW.jpg	20160105	Cage the Elephant 	Tell Me I'm Pretty	6/10	2394	203	179488	425
20160107_Lil Ugly Mane - Oblivion Access ALBUM REVIEW.jpg	20160107	Lil Ugly Mane 	Oblivion Access	WATCH THE REVIEW, CUCKERDOODLE/10	1515	1875	133633	511
20160111_Benjamin Clementine - At Least For Now ALBUM REVIEW.jpg	20160111	Benjamin Clementine 	At Least For Now	7/10	1013	32	58842	314
20160112_David Bowie - ★ (Blackstar) ALBUM REVIEW [R.I.P. BOWIE].jpg	20160112	David Bowie 	★ (Blackstar)	9/10	21414	343	831587	789
20160113_Hinds - Leave Me Alone ALBUM REVIEW.jpg	20160113	Hinds 	Leave Me Alone	6/10	950	50	60210	217
20160114_Meridian Brothers - Los Suicidas ALBUM REVIEW.jpg	20160114	Meridian Brothers 	Los Suicidas	7/10	823	17	38728	307
20160115_Boots - AQUɅRIA  ALBUM REVIEW.jpg	20160115	Boots 	AQUɅRIA 	6/10	599	19	42615	308
20160118_Ty Segall - Emotional Mugger ALBUM REVIEW.jpg	20160118	Ty Segall 	Emotional Mugger	8/10	1561	61	106569	452
20160119_Anderson .Paak - Malibu ALBUM REVIEW.jpg	20160119	Anderson .Paak 	Malibu	7/10	5173	218	345563	415
20160120_Jesu _ Sun Kil Moon - Self-Titled ALBUM REVIEW.jpg	20160120	Jesu _ Sun Kil Moon - Self	Titled	6/10	697	51	73381	588
20160121_Daughter - Not To Disappear ALBUM REVIEW.jpg	20160121	Daughter 	Not To Disappear	3/10	980	634	83122	230
20160122_Savages - Adore Life ALBUM REVIEW.jpg	20160122	Savages 	Adore Life	6/10	728	53	64827	434
20160126_Megadeth - Dystopia ALBUM REVIEW.jpg	20160126	Megadeth 	Dystopia	4/10	3242	1115	176185	307
20160128_Pop. 1280 - Paradise ALBUM REVIEW.jpg	20160128	Pop. 1280 	Paradise	8/10	1044	18	63947	513
20160129_Chairlift - Moth ALBUM REVIEW.jpg	20160129	Chairlift 	Moth	7/10	897	23	52936	505
20160201_Rihanna - ANTI ALBUM REVIEW.jpg	20160201	Rihanna 	ANTI	4/10	6288	1365	432672	549
20160203_Bloc Party - Hymns ALBUM REVIEW.jpg	20160203	Bloc Party 	Hymns	6/10	1734	42	109121	481
20160204_DIIV - Is The Is Are ALBUM REVIEW.jpg	20160204	DIIV 	Is The Is Are	6/10	1007	159	91847	435
20160209_Future - EVOL ALBUM REVIEW.jpg	20160209	Future 	EVOL	6/10	4121	292	296726	395
20160210_Majid Jordan - Self-Titled ALBUM REVIEW.jpg	20160210	Majid Jordan - Self	Titled	4/10	1257	570	92394	282
20160212_Lucinda Williams - The Ghosts of Highway 20 ALBUM REVIEW.jpg	20160212	Lucinda Williams 	The Ghosts of Highway 20	6/10	487	20	39365	360
20160215_Kanye West - The Life of Pablo ALBUM REVIEW.jpg	20160215	Kanye West 	The Life of Pablo	6/10	35273	12005	2377212	932
20160217_Porches - Pool ALBUM REVIEW.jpg	20160217	Porches 	Pool	5/10	966	186	73838	312
20160218_Animal Collective - Painting With ALBUM REVIEW.jpg	20160218	Animal Collective 	Painting With	5/10	2315	751	157268	523
20160222_Santigold - 99 Cents ALBUM REVIEW.jpg	20160222	Santigold 	99 Cents	7/10	1299	54	79695	534
20160223_Nevermen - Self-Titled ALBUM REVIEW.jpg	20160223	Nevermen - Self	Titled	7/10	787	123	43770	369
20160225_Matmos - Ultimate Care II ALBUM REVIEW.jpg	20160225	Matmos 	Ultimate Care II	8/10	1601	27	79495	263
20160228_Yung Lean - Warlord ALBUM REVIEW.jpg	20160228	Yung Lean 	Warlord	3/10	3845	2820	278787	397
20160301_Macklemore & Ryan Lewis - This Unruly Mess I've Made ALBUM REVIEW.jpg	20160301	Macklemore & Ryan Lewis 	This Unruly Mess I've Made	6/10	4540	410	293518	993
20160303_Wild Nothing - Life of Pause ALBUM REVIEW.jpg	20160303	Wild Nothing 	Life of Pause	5/10	816	66	65101	326
20160304_Big Ups - Before A Million Universes ALBUM REVIEW.jpg	20160304	Big Ups 	Before A Million Universes	8/10	807	25	62516	412
20160309_The 1975 - I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It ALBUM REVIEW.jpg	20160309	The 1975 	I Like It When You Sleep, for You Are So Beautiful Yet So Unaware of It	4/10	5595	1336	391271	603
20160310_Lemon Demon - Spirit Phone ALBUM REVIEW.jpg	20160310	Lemon Demon 	Spirit Phone	8/10	3602	90	140259	554
20160311_Bas - Too High To Riot ALBUM REVIEW ft. Luke James.jpg	20160311	Bas 	Too High To Riot	Me: 5/10	1357	217	99748	1013
20160314_ORANSSI PAZUZU - Värähtelijä ALBUM REVIEW.jpg	20160314	ORANSSI PAZUZU 	Värähtelijä	7/10	1103	43	69073	535
20160315_Flatbush Zombies - 3001 - A Laced Odyssey ALBUM REVIEW.jpg	20160315	Flatbush Zombies - 3001 	A Laced Odyssey	6/10	3561	1486	280402	577
20160316_Denzel Curry - Imperial ALBUM REVIEW.jpg	20160316	Denzel Curry 	Imperial	8/10	8904	144	397201	461
20160317_Iggy Pop - Post-Pop Depression ALBUM REVIEW.jpg	20160317	Iggy Pop - Post	Pop Depression	7/10	2288	74	136885	581
20160318_The Drones - Feelin' Kinda Free ALBUM REVIEW.jpg	20160318	The Drones 	Feelin' Kinda Free	8/10	1265	41	83073	620
20160322_Baauer - Aa ALBUM REVIEW.jpg	20160322	Baauer 	Aa	6/10	1019	36	73800	451
20160323_The Body and Full of Hell - One Day You Will Ache Like I Ache ALBUM REVIEW.jpg	20160323	The Body and Full of Hell 	One Day You Will Ache Like I Ache	7/10	964	28	62598	452
20160324_Kano - Made In the Manor ALBUM REVIEW.jpg	20160324	Kano 	Made In the Manor	7/10	1793	63	92790	484
20160329_Zayn - Mind of Mine ALBUM REVIEW.jpg	20160329	Zayn 	Mind of Mine	4/10	3978	769	261799	373
20160330_Black Mountain - IV ALBUM REVIEW.jpg	20160330	Black Mountain 	IV	7/10	803	37	56520	461
20160402_Domo Genesis - Genesis ALBUM REVIEW.jpg	20160402	Domo Genesis 	Genesis	4/10	2207	954	158921	429
20160405_Weezer - Self-Titled (White) ALBUM REVIEW.jpg	20160405	Weezer - Self	Titled (White)	8/10	7333	162	343551	593
20160406_Ash Koosha - I AKA I ALBUM REVIEW.jpg	20160406	Ash Koosha 	I AKA I	6/10	543	27	43052	358
20160407_Explosions In the Sky - The Wilderness ALBUM REVIEW.jpg	20160407	Explosions In the Sky 	The Wilderness	4/10	860	237	83224	403
20160408_Open Mike Eagle & Paul White - Hella Personal Film Festival ALBUM REVIEW.jpg	20160408	Open Mike Eagle & Paul White 	Hella Personal Film Festival	7/10	1077	26	70182	574
20160412_Babyfather - BBF (Hosted by DJ Escrow) ALBUM REVIEW.jpg	20160412	Babyfather 	BBF (Hosted by DJ Escrow)	6/10	496	60	40581	565
20160412_Babymetal - Metal Resistance ALBUM REVIEW ft. Digibro.jpg	20160412	Babymetal 	Metal Resistance	6/10	2589	219	157627	2598
20160413_Tim Hecker - Love Streams ALBUM REVIEW.jpg	20160413	Tim Hecker 	Love Streams	5/10	685	187	69404	589
20160414_Deftones - Gore ALBUM REVIEW.jpg	20160414	Deftones 	Gore	4/10	2821	3340	185063	550
20160415_Parquet Courts - Human Performance ALBUM REVIEW.jpg	20160415	Parquet Courts 	Human Performance	7/10	1091	70	93015	421
20160417_M83 - JUNK ALBUM REVIEW.jpg	20160417	M83 	JUNK	3/10	2042	797	188050	688
20160418_PJ Harvey - The Hope Six Demolition Project ALBUM REVIEW.jpg	20160418	PJ Harvey 	The Hope Six Demolition Project	7/10	742	34	62084	501
20160419_Deakin - Sleep Cycle ALBUM REVIEW.jpg	20160419	Deakin 	Sleep Cycle	7/10	1065	45	62518	452
20160426_A$AP Ferg - Always Strive And Prosper ALBUM REVIEW.jpg	20160426	A$AP Ferg 	Always Strive And Prosper	2/10	4499	991	290794	530
20160426_Sturgill Simpson - A Sailor's Guide To Earth ALBUM REVIEW.jpg	20160426	Sturgill Simpson 	A Sailor's Guide To Earth	8/10	1811	60	107083	414
20160427_Beyoncé - LEMONADE ALBUM REVIEW.jpg	20160427	Beyoncé 	LEMONADE	8/10	16030	1077	878557	1156
20160429_Xiu Xiu - Plays the Music of Twin Peaks ALBUM REVIEW.jpg	20160429	Xiu Xiu 	Plays the Music of Twin Peaks	9/10	2841	60	154638	535
20160502_Drake - Views ALBUM REVIEW.jpg	20160502	Drake 	Views	4/10	23058	4781	1348046	893
20160505_King Gizzard & The Lizard Wizard- Nonagon Infinity ALBUM REVIEW.jpg	20160505	King Gizzard & The Lizard Wizard	Nonagon Infinity	8/10	4837	57	261567	511
20160506_Aesop Rock - The Impossible Kid ALBUM REVIEW.jpg	20160506	Aesop Rock 	The Impossible Kid	8/10	6769	243	336908	607
20160509_Death Grips - Bottomless Pit ALBUM REVIEW.jpg	20160509	Death Grips 	Bottomless Pit	9/10	17055	648	923466	1189
20160510_Radiohead - A Moon Shaped Pool ALBUM REVIEW.jpg	20160510	Radiohead 	A Moon Shaped Pool	8/10	12357	490	700946	597
20160511_Vektor - Terminal Redux ALBUM REVIEW.jpg	20160511	Vektor 	Terminal Redux	8/10	2992	115	176706	769
20160512_James Blake - The Colour In Anything ALBUM REVIEW.jpg	20160512	James Blake 	The Colour In Anything	5/10	1908	2284	171088	753
20160513_Skepta - Konnichiwa ALBUM REVIEW.jpg	20160513	Skepta 	Konnichiwa	7/10	6834	328	371976	573
20160517_ANOHNI - Hopelessness ALBUM REVIEW.jpg	20160517	ANOHNI 	Hopelessness	6/10	1156	181	102768	733
20160519_Kaytranada - 99.9% ALBUM REVIEW.jpg	20160519	Kaytranada 	99.9%	6/10	2315	908	212647	505
20160520_Kvelertak - Nattesferd ALBUM REVIEW.jpg	20160520	Kvelertak 	Nattesferd	6/10	1175	75	82815	449
